Student ID,Topic,Subtopic,Answer
647,Statistics,Statistics,0
41,Statistics,Statistics,1
340,Statistics,Statistics,1
641,Statistics,Statistics,0
669,Statistics,Statistics,1
697,Statistics,Statistics,1
720,Statistics,Statistics,1
675,Statistics,Statistics,1
663,Statistics,Statistics,0
28,Statistics,Statistics,0
953,Statistics,Statistics,0
636,Statistics,Statistics,1
639,Statistics,Statistics,0
684,Statistics,Statistics,0
683,Statistics,Statistics,0
725,Statistics,Statistics,0
57,Statistics,Statistics,0
690,Statistics,Statistics,0
675,Statistics,Statistics,0
679,Statistics,Statistics,0
663,Statistics,Statistics,0
638,Statistics,Statistics,0
953,Statistics,Statistics,0
637,Statistics,Statistics,0
658,Statistics,Statistics,0
647,Statistics,Statistics,0
657,Statistics,Statistics,0
674,Statistics,Statistics,0
41,Statistics,Statistics,1
41,Statistics,Statistics,1
651,Statistics,Statistics,0
1505,Statistics,Statistics,1
664,Statistics,Statistics,0
699,Statistics,Statistics,0
67,Statistics,Statistics,0
57,Statistics,Statistics,0
57,Statistics,Statistics,0
675,Statistics,Statistics,1
679,Statistics,Statistics,0
638,Statistics,Statistics,0
913,Statistics,Statistics,1
646,Statistics,Statistics,0
641,Statistics,Statistics,0
695,Statistics,Statistics,0
700,Statistics,Statistics,0
675,Statistics,Statistics,1
659,Statistics,Statistics,0
642,Statistics,Statistics,0
637,Statistics,Statistics,0
643,Statistics,Statistics,0
741,Statistics,Statistics,0
647,Statistics,Statistics,0
674,Statistics,Statistics,0
713,Statistics,Statistics,0
41,Statistics,Statistics,0
669,Statistics,Statistics,0
1505,Statistics,Statistics,1
668,Statistics,Statistics,1
695,Statistics,Statistics,1
699,Statistics,Statistics,0
661,Statistics,Statistics,1
667,Statistics,Statistics,1
638,Statistics,Statistics,1
1026,Differentiation,Derivatives,0
175,Differentiation,Derivatives,0
626,Differentiation,Derivatives,0
349,Differentiation,Derivatives,0
174,Differentiation,Derivatives,0
1564,Differentiation,Derivatives,0
407,Differentiation,Derivatives,0
411,Differentiation,Derivatives,0
155,Differentiation,Derivatives,0
240,Real Functions of a single variable,"Domain, Image and Graphics",1
626,Real Functions of a single variable,"Domain, Image and Graphics",1
750,Real Functions of a single variable,"Domain, Image and Graphics",0
