order_date,category,price
2023-04-29,Pizza,29.27
2023-02-26,Coffee,36.52
2021-08-08,Coffee,13.17
2022-01-29,Pizza,17.88
2022-04-12,Snacks,45.61
2022-07-14,Tea,46.45
2024-05-03,Tea,12.05
2023-12-14,Tea,46.12
2024-08-30,Pizza,17.47
2024-01-02,Coffee,26.52
2022-04-19,Pizza,10.41
2020-02-25,Pizza,28.9
2022-09-14,Cake,45.87
2021-09-05,Coffee,23.67
2023-04-08,Cake,41.38
2024-01-19,Merchandise,40.29
2020-06-21,Coffee,33.74
2024-02-16,Coffee,41.93
2023-02-11,Coffee,31.97
2020-11-22,Tea,23.53
2023-11-14,Tea,28.39
2020-06-14,Cake,10.83
2024-04-16,Cake,6.25
2023-04-01,Coffee,33.74
2021-02-28,Cake,12.68
2024-06-16,Tea,31.91
2020-05-26,Pizza,13.71
2020-09-14,Pizza,6.57
2021-02-08,Pizza,49.53
2024-05-07,Cake,32.24
2024-06-18,Merchandise,14.51
2024-01-30,Tea,15.86
2021-05-21,Merchandise,28.35
2020-09-12,Cake,12.43
2022-09-06,Snacks,13.65
2021-07-07,Cold Drinks,16.72
2024-01-05,Cold Drinks,30.47
2023-02-27,Coffee,38.94
2024-02-26,Cold Drinks,10.98
2023-08-18,Cold Drinks,15.19
2022-02-19,Tea,38.38
2020-12-12,Pizza,24.74
2021-06-01,Merchandise,15.24
2021-02-19,Snacks,25.56
2021-04-16,Snacks,39.1
2023-05-17,Tea,28.91
2023-09-17,Tea,16.58
2021-12-15,Cold Drinks,24.01
2021-08-16,Snacks,16.99
2020-02-04,Coffee,43.18
2024-07-03,Coffee,34.47
2022-11-21,Merchandise,5.83
2021-12-13,Coffee,41.68
2024-03-18,Snacks,41.09
2024-06-06,Cold Drinks,17.34
2022-10-11,Snacks,8.44
2021-07-22,Cake,48.53
2020-11-10,Snacks,38.93
2023-08-04,Cold Drinks,46.03
2021-07-07,Coffee,18.93
2021-05-20,Pizza,46.03
2024-10-26,Merchandise,42.39
2021-04-13,Cake,21.31
2024-09-10,Coffee,17.45
2023-10-13,Merchandise,45.27
2022-06-07,Coffee,35.82
2020-05-21,Cake,49.09
2022-12-26,Snacks,8.47
2021-02-11,Cold Drinks,43.56
2021-07-06,Pizza,45.11
2023-10-18,Cake,20.12
2024-03-23,Cold Drinks,30.53
2024-12-14,Snacks,49.21
2024-02-27,Cake,49.74
2022-11-26,Tea,10.07
2024-04-25,Pizza,37.54
2021-03-11,Coffee,23.53
2022-08-10,Coffee,30.04
2023-09-21,Pizza,15.1
2023-07-14,Tea,48.84
2024-06-22,Cold Drinks,38.17
2023-03-02,Snacks,42.7
2024-02-29,Coffee,20.7
2023-04-06,Cold Drinks,35.12
2023-11-22,Tea,31.58
2020-05-27,Cold Drinks,25.38
2022-02-27,Coffee,13.97
2023-05-24,Merchandise,47.27
2023-02-25,Snacks,10.68
2021-08-30,Merchandise,33.93
2022-04-25,Pizza,40.15
2020-06-18,Cold Drinks,34.36
2025-03-07,Snacks,44.33
2022-10-10,Tea,23.95
2023-10-23,Snacks,7.6
2024-05-08,Snacks,43.67
2020-08-18,Tea,20.06
2020-09-08,Pizza,37.34
2024-12-23,Snacks,25.39
2021-08-14,Pizza,11.4
2022-10-22,Pizza,18.56
2022-08-26,Pizza,42.99
2022-06-29,Coffee,44.42
2020-11-04,Cake,31.61
2025-04-07,Pizza,16.75
2021-11-28,Tea,32.49
2021-02-10,Cake,48.98
2023-08-09,Pizza,8.34
2021-03-13,Tea,44.58
2021-01-08,Tea,21.22
2022-03-12,Merchandise,8.24
2024-01-01,Merchandise,21.08
2024-09-07,Snacks,34.06
2021-03-06,Pizza,22.66
2023-04-19,Pizza,28.24
2024-02-06,Cake,20.73
2024-04-28,Tea,36.07
2022-10-03,Pizza,49.95
2021-02-22,Snacks,9.02
2023-05-25,Cold Drinks,5.46
2023-08-25,Cold Drinks,39.15
2021-06-17,Cold Drinks,47.93
2022-07-02,Coffee,47.11
2023-09-10,Tea,47.78
2020-10-21,Cold Drinks,40.35
2021-04-19,Coffee,21.75
2020-08-28,Cold Drinks,16.75
2020-01-29,Snacks,19.02
2023-01-18,Merchandise,11.61
2020-04-24,Snacks,37.23
2024-12-25,Coffee,10.68
2023-06-28,Tea,30.11
2023-01-06,Cake,42.62
2023-04-09,Pizza,20.69
2023-02-08,Snacks,48.73
2022-09-27,Tea,17.75
2021-06-04,Pizza,43.04
2020-08-01,Merchandise,6.26
2023-12-17,Merchandise,31.93
2023-07-31,Pizza,24.18
2023-02-19,Merchandise,34.04
2021-05-20,Tea,31.94
2023-05-01,Snacks,35.24
2021-02-08,Tea,45.75
2021-03-02,Tea,40.76
2025-03-02,Pizza,10.08
2022-07-09,Cake,32.42
2023-08-20,Cake,44.55
2020-11-01,Snacks,11.14
2022-07-30,Pizza,16.3
2022-10-15,Cake,41.85
2023-07-14,Merchandise,6.31
2020-08-15,Cake,32.53
2024-11-09,Merchandise,18.97
2021-07-14,Snacks,23.38
2022-04-18,Tea,16.48
2024-09-17,Tea,5.17
2024-05-18,Cake,10.12
2020-05-17,Merchandise,29.63
2024-09-28,Coffee,20.46
2024-03-22,Cold Drinks,38.66
2021-09-27,Coffee,8.57
2020-04-06,Cold Drinks,35.5
2025-02-11,Coffee,5.28
2023-03-29,Tea,36.7
2022-11-26,Pizza,21.15
2022-12-14,Tea,49.98
2022-10-14,Cold Drinks,28.62
2023-06-10,Pizza,24.42
2020-10-07,Merchandise,28.61
2020-02-14,Cake,47.98
2022-07-09,Coffee,32.79
2022-12-14,Merchandise,38.87
2024-05-07,Merchandise,46.37
2024-11-16,Cake,36.38
2021-06-09,Merchandise,16.02
2023-06-25,Cake,39.41
2020-11-28,Snacks,33.12
2021-05-16,Cake,47.84
2023-06-17,Cold Drinks,31.92
2022-10-12,Coffee,9.15
2022-05-23,Pizza,23.5
2023-03-29,Pizza,35.48
2022-08-18,Coffee,28.08
2020-10-29,Pizza,23.34
2023-10-12,Cake,30.01
2024-10-26,Cold Drinks,49.61
2020-08-06,Snacks,12.96
2021-11-20,Cold Drinks,7.55
2022-03-23,Pizza,23.57
2023-07-21,Snacks,13.89
2024-09-12,Coffee,21
2020-04-08,Snacks,44.24
2022-05-14,Merchandise,23.8
2022-04-29,Tea,9.01
2023-07-06,Merchandise,16.55
2021-10-26,Coffee,16.65
2022-08-06,Pizza,18.18
2021-03-03,Pizza,32.53
2020-05-11,Snacks,42.19
2020-06-13,Cake,27.36
2024-11-15,Cold Drinks,29.28
2020-12-09,Tea,35.88
2024-10-25,Cake,19.33
2020-05-20,Coffee,37.88
2025-02-24,Cold Drinks,36.15
2024-12-24,Pizza,35.11
2021-11-12,Snacks,47.81
