Play_Time,Win_Rate,Avg_Score,Missions_Completed,Items_Collected,Purchase_Amount,Guild_Member,Play_Days,Rank_Points,Event_Participation,Game_Level
138.28,0.66,8363,73,336,35.52,N,106,1097,23,1
57.6,0.704,1639,119,295,28.37,Y,122,1831,27,0
165.03,0.649,4417,169,289,82.41,Y,247,1237,31,1
176.43,0.753,4994,87,533,90.6,Y,10,997,31,1
10.0,0.637,3828,41,781,136.58,Y,135,981,18,1
41.87,0.576,6350,123,505,31.91,Y,66,1693,3,0
127.67,0.624,6220,218,301,43.48,Y,238,1623,10,1
101.03,0.271,4928,187,960,265.47,N,363,2410,16,1
118.99,0.391,4594,99,576,159.27,Y,288,1326,39,1
68.82,0.569,4832,96,400,72.27,N,94,1316,30,0
172.76,0.811,4843,177,19,177.11,N,189,2364,35,2
166.67,0.675,4882,55,566,32.02,Y,12,2091,39,1
123.96,0.263,4718,250,624,65.83,N,153,1587,5,1
187.63,0.615,5379,261,929,90.03,N,105,563,0,1
148.05,0.355,6130,12,238,59.94,N,185,1013,22,0
68.44,0.714,3155,291,171,61.68,N,152,868,10,1
142.13,0.779,3424,11,999,131.77,N,250,1522,34,1
62.47,0.615,2377,140,554,160.82,Y,202,1195,18,1
172.71,0.614,6300,201,36,54.84,N,343,2462,0,1
117.0,0.437,5375,101,114,22.78,Y,29,557,8,0
108.91,0.512,5758,65,480,18.16,N,345,803,13,1
79.14,0.805,2856,19,621,9.15,N,289,1647,1,1
193.35,0.706,7677,219,251,236.4,N,261,1813,12,2
110.73,0.564,4087,15,372,132.16,N,302,200,21,0
94.3,0.458,5252,147,738,112.23,Y,23,459,35,1
98.87,0.235,6282,120,967,49.03,N,81,1342,25,0
151.94,0.3,3520,290,496,48.79,Y,5,2314,3,1
141.93,0.335,4181,279,421,164.48,N,292,2633,16,1
144.76,0.461,5269,246,367,15.82,N,132,1251,30,0
145.85,0.861,9286,220,144,56.83,Y,135,1398,14,1
248.5,0.554,5452,165,62,181.04,N,224,998,22,1
95.62,0.364,7410,108,835,56.74,Y,157,1880,39,1
89.27,0.274,6809,54,46,127.39,Y,234,2417,5,1
71.17,0.437,5552,290,822,74.56,N,342,2254,19,1
156.96,0.771,3516,118,254,2.81,N,124,1483,24,1
187.74,0.468,6590,131,697,72.11,N,326,997,31,2
113.16,0.741,2753,46,952,83.69,Y,196,1505,33,1
69.59,0.762,7401,86,751,67.76,Y,140,2328,11,1
70.53,0.278,5300,192,732,27.06,Y,335,1260,18,1
159.04,0.626,1025,130,272,68.37,Y,180,411,33,1
164.6,0.871,4489,177,602,9.93,Y,50,1284,33,1
152.59,0.481,5981,67,645,56.25,Y,108,1333,32,0
80.07,0.236,4644,29,431,134.74,N,309,407,26,1
133.93,0.846,6073,266,47,227.68,Y,190,1639,10,1
127.0,0.819,3725,132,913,202.63,N,206,1804,14,1
133.12,0.565,3041,111,204,31.22,N,250,2616,26,1
172.29,0.587,4893,89,973,19.05,Y,75,701,10,0
133.42,0.348,5047,199,932,90.05,N,38,1938,27,1
160.73,0.774,4477,171,28,79.55,Y,163,2080,20,2
124.05,0.549,6841,119,741,120.72,Y,336,1812,17,1
137.35,0.224,3725,279,637,45.55,N,50,896,14,1
157.88,0.678,5470,271,238,81.46,Y,263,861,30,1
32.57,0.865,5102,63,814,78.1,Y,357,1558,18,1
100.82,0.78,2665,194,120,57.88,N,39,1554,12,1
91.78,0.394,3021,290,256,14.57,Y,52,1164,15,0
81.67,0.237,5018,149,949,133.33,N,317,2275,19,1
103.49,0.858,7972,13,745,90.52,N,44,1260,24,1
209.7,0.856,5869,43,121,140.01,Y,272,364,39,1
68.05,0.573,2412,201,152,164.39,N,292,1366,13,1
178.1,0.65,500,271,264,72.85,Y,117,1788,7,1
19.03,0.524,6100,42,79,133.94,Y,109,1705,39,0
