년도,성별,지역코드,신용대출,담보대출
2021,0,24000000,76790,307218
2022,1,25000000,168874,264879
2020,1,32000000,337433,413714
2022,1,26000000,498345,476650
2022,1,22000000,274786,381868
2019,1,31000000,65485,427503
2020,1,29000000,356626,387841
2020,0,35000000,136188,78732
2020,1,22000000,54748,171465
2022,1,24000000,267841,454530
2021,0,25000000,190507,467170
2020,0,28000000,315853,107108
2022,0,32000000,173961,161195
2019,0,33000000,80355,415225
2021,1,31000000,236843,86668
2019,1,24000000,456332,335205
2021,1,34000000,206542,391396
2022,1,11000000,223416,89749
2018,1,33000000,355062,180560
2021,1,33000000,364368,416824
2019,0,33000000,89298,197979
2022,1,23000000,392363,199849
2021,0,24000000,111629,274301
2018,0,31000000,378184,101745
2018,1,35000000,280907,420608
2020,0,29000000,340160,141865
2020,1,29000000,73960,424572
2019,0,35000000,345735,262890
2021,1,24000000,263920,73624
2021,0,26000000,415477,73321
2020,1,23000000,292804,453704
2021,1,11000000,426965,334718
2021,1,33000000,348539,448456
2018,1,33000000,179695,224293
2020,1,24000000,465916,453694
2022,0,26000000,346764,309127
2020,0,29000000,284286,236717
2022,0,29000000,178148,462478
2018,1,25000000,332703,430975
2019,0,24000000,405540,233868
2021,1,23000000,242714,185504
2018,1,21000000,257611,145257
2021,0,23000000,333876,114291
2019,0,34000000,309747,260176
2019,1,29000000,141362,240471
2018,0,29000000,473570,439744
2019,1,22000000,325987,362572
2022,1,29000000,164065,268803
2019,1,35000000,383870,443518
2021,1,11000000,67640,443271
2021,1,27000000,102528,161317
2021,0,24000000,350557,189789
2021,0,32000000,309214,439593
2022,1,23000000,364782,340843
2020,1,35000000,495952,123686
2018,0,27000000,160133,117661
2021,0,35000000,418501,94247
2019,1,26000000,249938,295121
2021,0,21000000,200159,197820
2019,1,11000000,222502,417257
2019,0,31000000,205576,316765
2021,1,35000000,450330,196106
2022,0,35000000,391003,308930
2019,1,30000000,411801,448342
2019,0,23000000,454191,186194
2021,0,27000000,61023,330174
2019,1,31000000,71447,394982
2019,0,21000000,438043,396861
2021,1,22000000,336103,498874
2021,0,31000000,116203,88638
2018,1,11000000,431300,379211
2022,0,11000000,210775,168033
2022,1,32000000,59337,155977
2019,0,22000000,96427,138869
2022,1,30000000,373673,155186
2019,0,24000000,414167,346818
2018,1,31000000,396809,216926
2021,1,22000000,155787,96271
2021,1,11000000,212993,385832
2021,0,11000000,345451,481734
2022,1,27000000,470571,423220
2018,0,29000000,177016,191339
2022,1,30000000,316979,271897
2022,0,31000000,70159,51062
2018,1,32000000,228677,297736
2018,0,32000000,433934,100448
2018,0,31000000,417760,145462
2018,1,34000000,481304,449445
2021,0,33000000,390896,295885
2020,0,21000000,367428,97915
2020,1,32000000,369187,316776
2018,0,22000000,216619,154592
2020,0,21000000,409151,184668
2020,0,22000000,132844,421923
2018,1,26000000,77532,449384
2020,0,11000000,215421,158099
2022,1,29000000,172402,57561
2019,0,27000000,168012,132152
2019,0,32000000,488661,175036
2018,0,29000000,448929,436193
2021,1,29000000,106178,76734
2018,0,29000000,99407,449587
2021,0,33000000,100990,76069
2019,1,21000000,179473,260977
2018,0,22000000,370285,62910
2022,1,28000000,467009,385623
2020,1,26000000,368714,131264
2021,0,23000000,276156,73275
2020,1,29000000,218964,122274
2020,0,24000000,51015,412920
2018,1,21000000,111813,241076
2020,1,32000000,77712,244053
2022,0,30000000,150497,235625
2020,1,32000000,451631,98447
2018,1,27000000,292926,477745
