Region,Crop,Season,Farm_Method,Greenhouse,Area_ha,Days_Since_Spray,Pesticide_Amount_L,Temp_C,Humidity,Rainfall_7d_mm,Soil_pH,Sample_Weight_g,Year,Pesticide_Result
경기,감귤,겨울,유기,N,0.32,53.2,0.3,27.5,77.7,106.2,5.97,102,2020,0
강원,배추,여름,관행,Y,2.23,39.5,0.64,16.0,51.1,104.0,5.91,53,2018,0
제주,배추,겨울,유기,Y,1.14,54.7,1.09,28.5,37.2,27.7,6.8,283,2019,0
전남,고추,여름,유기,Y,2.39,48.8,0.78,26.9,58.4,18.1,5.62,172,2018,0
충남,감귤,봄,유기,Y,2.59,30.3,0.89,21.6,58.4,101.3,6.23,263,2022,0
충남,고추,봄,관행,Y,2.75,33.5,0.55,31.6,68.8,100.4,5.96,120,2021,0
충북,고추,가을,관행,N,2.87,18.3,0.93,13.3,41.7,58.9,6.24,312,2023,0
경남,배추,가을,유기,N,0.32,26.3,1.16,20.9,31.8,62.2,6.3,199,2021,0
전북,토마토,봄,관행,N,1.24,25.0,0.4,21.1,54.0,89.9,5.95,185,2023,0
제주,사과,여름,관행,Y,1.85,40.4,1.26,15.9,62.6,34.5,5.56,275,2022,0
경북,상추,가을,관행,Y,3.28,28.1,0.8,33.4,71.6,27.3,6.78,105,2022,0
경기,고추,봄,관행,Y,1.32,35.5,0.86,20.4,55.6,105.0,6.69,77,2020,0
경북,상추,가을,유기,Y,1.61,45.3,1.08,18.6,50.2,99.2,7.16,239,2019,0
전북,상추,겨울,관행,N,2.1,43.3,1.41,29.6,67.2,53.4,5.82,175,2018,0
충남,상추,겨울,관행,Y,1.44,31.3,1.0,19.8,73.5,36.1,6.29,219,2021,0
제주,고추,겨울,유기,Y,0.9,28.5,1.0,20.6,62.3,91.5,5.3,150,2019,0
전남,토마토,겨울,유기,N,0.59,35.4,0.88,16.4,99.5,65.4,5.69,285,2023,0
경남,포도,봄,유기,N,2.47,36.1,0.37,26.3,57.6,117.5,6.74,202,2023,0
충남,사과,겨울,관행,Y,2.44,53.0,0.4,21.0,65.5,62.1,6.55,219,2018,0
제주,토마토,가을,유기,N,5.21,22.4,1.18,17.1,68.4,113.3,6.49,165,2023,0
충남,감귤,여름,관행,N,3.24,34.0,1.31,18.0,65.5,93.8,6.7,227,2020,0
충북,감귤,봄,관행,N,2.31,0.0,2.7,26.3,80.5,6.0,6.26,221,2019,1
충북,배추,봄,관행,N,2.25,17.1,1.17,21.5,55.1,84.3,6.35,238,2023,0
강원,배추,봄,유기,Y,0.75,46.1,0.44,16.6,45.1,112.0,6.12,182,2018,0
제주,고추,봄,관행,N,0.98,8.2,2.02,27.9,68.6,7.8,6.75,264,2019,1
전북,토마토,여름,유기,N,4.19,28.0,1.19,22.7,63.3,53.2,6.09,204,2019,0
경기,감귤,가을,관행,Y,0.72,40.4,0.36,15.0,54.8,87.7,6.04,157,2019,0
전남,고추,겨울,관행,N,3.45,14.9,0.34,29.1,73.4,137.3,6.13,177,2018,0
강원,상추,겨울,관행,Y,3.6,38.4,0.67,23.0,78.9,44.7,6.48,254,2019,0
제주,감귤,겨울,관행,Y,0.65,31.0,0.22,28.7,62.1,144.2,6.61,289,2018,0
전북,토마토,봄,유기,N,1.01,41.5,1.51,20.5,85.1,59.8,6.31,228,2021,0
전북,배추,봄,관행,Y,5.37,30.7,0.92,27.3,67.3,63.6,6.17,282,2019,0
전남,감귤,여름,관행,N,3.29,25.1,0.98,20.7,58.2,121.8,6.83,175,2023,0
강원,포도,가을,관행,N,0.59,38.5,0.39,18.5,51.3,102.1,6.74,164,2018,0
경기,배추,여름,유기,Y,2.35,59.2,0.84,14.5,62.0,103.9,5.89,95,2020,0
전북,고추,겨울,관행,Y,0.78,4.5,1.93,30.7,73.9,13.2,5.87,196,2020,1
충남,고추,겨울,유기,Y,0.93,22.1,1.26,17.7,70.9,92.6,6.27,176,2018,0
제주,감귤,가을,관행,N,0.52,18.0,2.81,24.1,75.4,53.0,5.94,153,2023,2
경북,고추,가을,유기,N,0.58,44.6,1.02,29.1,61.3,68.0,5.68,150,2022,0
전북,상추,겨울,관행,N,1.11,29.0,0.73,22.6,71.5,80.2,5.54,164,2018,0
제주,토마토,가을,관행,Y,0.05,35.2,0.78,25.1,53.2,137.1,6.52,164,2023,0
강원,배추,겨울,유기,N,1.0,33.9,1.03,23.7,70.0,98.3,7.2,235,2021,0
경남,고추,여름,관행,N,0.74,38.0,1.23,31.2,49.1,59.3,7.02,228,2023,0
경남,토마토,여름,관행,N,2.03,26.2,1.1,30.5,58.9,60.9,6.31,168,2022,0
제주,포도,겨울,유기,N,1.18,32.1,0.95,21.8,60.1,62.1,5.4,228,2018,0
경북,포도,봄,관행,N,0.35,38.5,0.58,30.8,65.6,87.5,6.1,182,2018,0
제주,포도,가을,관행,N,1.33,1.4,2.22,29.0,72.3,0.0,6.6,146,2020,1
경북,토마토,봄,유기,Y,2.7,47.2,0.21,17.7,84.3,84.2,5.88,243,2020,0
경기,토마토,겨울,유기,Y,0.84,33.7,0.38,24.6,57.9,72.7,6.23,169,2019,0
충북,토마토,가을,유기,Y,0.84,37.4,0.82,14.8,77.3,63.4,5.57,296,2022,0
전북,사과,여름,관행,N,2.45,41.9,0.61,21.2,48.4,105.1,7.55,163,2020,0
강원,고추,봄,관행,Y,2.0,60.0,1.16,24.5,56.5,53.3,6.94,240,2019,0
경남,포도,가을,유기,Y,0.58,42.5,0.83,19.6,83.6,34.5,6.13,203,2020,0
전남,고추,여름,유기,N,3.73,31.8,0.02,26.0,43.5,46.2,6.93,225,2022,0
경기,감귤,봄,유기,N,0.33,33.3,0.37,24.4,78.0,45.8,6.84,199,2023,0
경북,사과,겨울,유기,Y,1.09,37.0,1.1,27.7,73.1,125.1,7.15,117,2019,0
충북,고추,봄,유기,Y,1.27,31.2,1.09,24.5,70.5,73.2,7.89,112,2018,0
강원,토마토,가을,유기,N,0.36,13.0,2.2,20.7,64.3,36.9,6.41,168,2023,2
제주,토마토,여름,관행,N,0.18,3.7,2.79,27.3,73.0,6.0,6.68,274,2022,1
강원,감귤,여름,유기,N,2.62,49.6,0.58,23.6,64.3,76.4,6.79,186,2022,0
경북,상추,봄,유기,N,0.69,46.5,0.04,23.9,68.8,116.2,7.18,158,2022,0
경기,상추,가을,관행,Y,2.75,29.9,0.77,23.6,64.6,31.3,5.93,196,2020,0
충남,상추,봄,유기,N,2.38,40.1,0.78,24.9,88.4,83.8,6.78,216,2022,0
경남,감귤,여름,유기,N,3.56,10.3,1.1,17.3,88.0,28.0,6.92,168,2021,2
충북,토마토,가을,유기,N,2.64,44.3,0.0,25.6,61.1,120.5,5.71,261,2019,0
제주,토마토,여름,관행,N,0.15,34.2,0.34,17.8,68.8,88.0,6.14,249,2019,0
강원,포도,봄,관행,Y,2.24,33.5,0.98,23.1,62.8,80.7,5.44,274,2018,0
경북,감귤,봄,유기,Y,0.47,41.2,1.34,18.7,58.5,75.3,6.06,282,2019,0
경북,포도,봄,유기,Y,2.11,33.4,0.71,23.3,84.9,48.6,6.82,236,2022,0
전북,사과,여름,관행,Y,2.33,44.7,0.14,17.8,62.5,78.3,5.28,244,2019,0
충남,고추,여름,관행,N,1.94,22.1,0.64,18.3,78.4,109.7,6.88,207,2019,0
충남,토마토,겨울,유기,N,0.94,40.5,1.14,18.4,54.8,86.5,6.58,161,2019,0
강원,토마토,봄,유기,Y,1.82,49.1,0.71,18.7,70.8,73.7,6.39,97,2020,0
강원,토마토,가을,유기,Y,4.36,40.9,0.45,24.6,74.4,70.8,5.67,247,2018,0
충남,고추,봄,유기,N,2.88,34.2,0.93,16.4,81.2,97.3,6.7,50,2019,0
강원,고추,봄,관행,Y,1.39,31.0,0.88,20.8,59.7,16.0,8.2,108,2023,0
전남,배추,여름,관행,N,1.56,50.6,1.19,20.5,60.4,81.6,7.85,118,2020,0
경남,토마토,봄,관행,N,0.73,49.1,0.74,27.6,70.7,120.9,6.92,180,2020,0
제주,상추,겨울,관행,Y,1.07,30.6,0.87,18.3,76.1,95.6,6.83,308,2020,0
경기,감귤,여름,유기,Y,1.11,37.3,0.66,20.2,56.5,44.4,6.35,268,2022,0
제주,감귤,겨울,관행,N,1.1,27.6,0.81,28.8,54.9,110.4,6.1,337,2020,0
제주,포도,봄,유기,Y,2.06,50.8,0.76,15.8,50.6,111.4,6.69,235,2023,0
경기,포도,봄,유기,N,1.0,9.0,1.65,32.6,45.3,0.0,6.71,313,2018,1
경기,고추,가을,관행,Y,1.72,43.4,0.57,18.9,79.0,75.8,6.11,208,2021,0
경기,감귤,가을,관행,N,1.92,40.7,1.12,23.6,46.9,109.2,6.47,173,2022,0
강원,고추,겨울,관행,Y,0.55,45.7,0.32,27.3,65.6,93.9,6.66,200,2023,0
경북,배추,여름,유기,Y,2.21,26.8,0.95,21.5,72.8,130.5,6.81,251,2019,0
충남,감귤,여름,관행,N,0.93,49.0,0.66,22.4,65.5,0.0,6.69,212,2020,0
경남,상추,겨울,관행,Y,0.91,24.5,0.79,20.4,68.1,103.3,6.68,210,2018,0
경남,사과,여름,관행,N,0.42,0.0,2.98,26.2,81.1,27.2,6.08,129,2021,1
경기,사과,봄,유기,N,0.54,33.3,0.99,22.6,64.6,138.3,5.86,236,2021,0
충남,배추,가을,관행,Y,1.39,6.0,3.18,31.1,76.0,0.0,5.69,110,2023,1
제주,상추,여름,관행,Y,0.83,37.3,0.78,26.7,56.2,98.1,6.4,181,2023,0
전북,배추,여름,유기,N,0.65,48.2,0.88,29.4,72.7,84.0,7.67,339,2019,0
전남,포도,봄,유기,Y,5.36,26.2,0.37,18.3,63.6,81.3,6.2,263,2018,0
강원,사과,가을,유기,Y,1.53,32.4,0.88,17.4,60.3,104.1,6.44,249,2021,0
경기,감귤,여름,유기,Y,5.03,24.4,1.22,22.8,58.7,57.5,6.57,203,2019,0
경북,감귤,가을,유기,N,3.52,48.3,1.48,22.6,45.2,54.9,5.27,334,2021,0
강원,포도,여름,유기,Y,1.21,7.8,1.83,31.6,57.0,34.2,6.41,128,2019,2
경기,고추,봄,유기,N,0.51,23.9,0.59,21.9,75.8,31.3,5.72,191,2021,0
전북,고추,가을,유기,Y,0.8,35.7,0.31,15.7,44.1,94.8,6.7,220,2019,0
전남,감귤,겨울,유기,N,1.11,32.4,0.5,17.9,68.3,98.6,7.22,111,2018,0
전남,사과,가을,유기,Y,0.34,31.5,1.19,21.6,46.6,92.6,6.05,170,2021,0
경기,배추,봄,유기,N,2.68,52.2,0.25,22.8,72.5,45.9,6.08,157,2018,0
경남,상추,봄,유기,Y,2.36,41.1,0.58,25.6,61.0,93.0,6.88,197,2019,0
제주,고추,겨울,관행,Y,2.34,37.1,1.24,10.7,74.0,93.3,6.09,72,2020,0
